feature,mean_abs_shap_lr,mean_abs_shap_rf,rank_lr,rank_rf,in_top10_lr,in_top10_rf,agreement
edu_A Level or Equivalent,2.976378461190024,0.0220740241408928,1,7,True,True,True
edu_Lower Than A Level,2.5364319378639717,0.0055075906270632,2,21,True,False,False
submission_rate,2.4013237857636445,0.1481255837070682,3,1,True,True,True
module_GGG,2.328609515970745,0.0066641994090306,4,19,True,False,False
gender_F,2.1934814801190035,0.0206887857866214,5,8,True,True,True
gender_M,2.13495562317511,0.0096745194844916,6,11,True,False,False
weighted_mean_score,1.903751219461373,0.053980151574339,7,4,True,True,True
module_BBB,1.7905021316450191,0.0087860100359788,8,14,True,False,False
edu_HE Qualification,1.7056625317129084,0.0093147343197349,9,13,True,False,False
region_East Anglian Region,1.6056635273847109,0.0012091920665424,10,31,True,False,False
region_Scotland,1.4801704920213,0.0009629497354367,11,32,False,False,False
region_East Midlands Region,1.4428826790267189,0.000624429244142,12,37,False,False,False
region_South East Region,1.346882760042318,0.0009013371278753,13,33,False,False,False
module_FFF,1.3201605125666769,0.0037950107057717,14,24,False,False,False
region_South Region,1.2781384336218442,0.0021497912121371,15,28,False,False,False
region_London Region,1.2705141890542144,0.0012555929978301,16,30,False,False,False
region_North Western Region,1.189106521306481,0.0006604998118725,17,36,False,False,False
region_Yorkshire Region,1.1762691748891263,0.0003152419094666,18,41,False,False,False
module_CCC,1.1599687762117468,0.0072968259590783,19,17,False,False,False
region_South West Region,1.1078668405582692,0.0008174545179077,20,34,False,False,False
module_DDD,1.0489200945397128,0.0024118591728004,21,26,False,False,False
region_West Midlands Region,1.029760137382586,0.0005088791382235,22,40,False,False,False
module_EEE,0.8665898906165299,0.0048427580671149,23,22,False,False,False
region_North Region,0.7511558763532363,0.0007117205334618,24,35,False,False,False
region_Wales,0.7278012718446899,0.0006154668786254,25,38,False,False,False
region_Ireland,0.6195530760236413,0.0003028866499778,26,42,False,False,False
mean_assessment_score,0.4947113308254803,0.069719928206273,27,3,False,True,False
active_days,0.4278630706091255,0.0498799165065072,28,5,False,True,False
distinct_resources,0.39243285466333,0.0206273892401097,29,9,False,True,False
module_AAA,0.3503038932193738,0.0013908444368579,30,29,False,False,False
assessments_submitted,0.300390730816185,0.0755565829533905,31,2,False,True,False
early_clicks_14d,0.2269523517428975,0.004553276848669,32,23,False,False,False
edu_No Formal quals,0.1145073226521986,0.0002413951055578,33,43,False,False,False
module_presentation_length,0.0710862250736298,0.0093916497355911,34,12,False,False,False
edu_Post Graduate Qualification,0.0621996565467596,0.0001988765588285,35,44,False,False,False
presentation_year,0.055702590638705,0.0152302248147013,36,10,False,True,False
age_band_ord,0.0419541938031221,0.0022191056412955,37,27,False,False,False
mean_days_to_submit,0.038431274194768,0.0087663079981332,38,15,False,False,False
weekend_click_ratio,0.0268638297833206,0.0028961627111606,39,25,False,False,False
imd_band_ord,0.0266091677945517,0.0068059215719591,40,18,False,False,False
max_daily_clicks,0.0243237856005407,0.0080183068602787,41,16,False,False,False
num_of_prev_attempts,0.0226350668134843,0.0005282998360892,42,39,False,False,False
total_clicks,0.0222350064349438,0.0302262271631799,43,6,False,True,False
mean_clicks_per_day,0.0063481264208151,0.0060542295533191,44,20,False,False,False
