n_estimators,max_depth,min_samples_split,train_f1_mean,train_f1_std,cv_f1_mean,cv_f1_std,fit_time_s,score_time_s
500,15,2,0.9859904514942268,0.0012067939733911679,0.863766128118437,0.009368201396334295,29.016155433654784,1.644409704208374
200,15,2,0.985681072437431,0.0011688546592556587,0.8636535851552145,0.00924216621365043,13.782634067535401,1.854441499710083
500,15,5,0.9728917641798883,0.00033635709885257106,0.8630571246280926,0.009055180446480375,27.460351181030273,2.189132499694824
500,25,5,0.9921488517848658,0.00032880073572992633,0.8628200933629927,0.008411394207941708,22.50454182624817,1.0523036003112793
500,,2,1.0,0.0,0.862802109158968,0.009866630616492619,23.224296379089356,3.3772904872894287
500,25,2,1.0,0.0,0.8627723678994457,0.009260947576660248,28.583722352981567,1.9896806716918944
200,,5,0.9919697446662319,0.0004045710288096182,0.862271569413072,0.009520849372072624,12.587488889694214,2.1271071434020996
200,15,5,0.9728981498106304,0.0006226443317860168,0.8622469496674885,0.009494049284889885,12.56918044090271,2.67097954750061
200,,2,1.0,0.0,0.862015889159123,0.008361099833563458,9.974373722076416,2.3954999923706053
200,25,5,0.9919963732330132,0.0006663522244798265,0.861960358176027,0.008885796725375818,12.46216869354248,2.2577406406402587
500,,5,0.9924569218157288,0.0004817401218401271,0.8619597210526344,0.00816813346918343,27.427307605743408,2.8930638790130616
200,25,2,1.0,0.0,0.8611666729698702,0.009228003983629794,12.426975917816161,1.9210674285888671
