feature,mean_abs_shap
submission_rate,0.14812558370706824
assessments_submitted,0.07555658295339052
mean_assessment_score,0.06971992820627301
weighted_mean_score,0.05398015157433901
active_days,0.04987991650650723
total_clicks,0.030226227163179995
edu_A Level or Equivalent,0.022074024140892882
gender_F,0.020688785786621408
distinct_resources,0.020627389240109772
presentation_year,0.015230224814701302
gender_M,0.00967451948449161
module_presentation_length,0.0093916497355911
edu_HE Qualification,0.00931473431973499
module_BBB,0.008786010035978812
mean_days_to_submit,0.008766307998133232
max_daily_clicks,0.008018306860278776
module_CCC,0.007296825959078331
imd_band_ord,0.006805921571959116
module_GGG,0.006664199409030697
mean_clicks_per_day,0.006054229553319122
edu_Lower Than A Level,0.005507590627063268
module_EEE,0.004842758067114963
early_clicks_14d,0.004553276848669028
module_FFF,0.0037950107057717493
weekend_click_ratio,0.002896162711160626
module_DDD,0.002411859172800496
age_band_ord,0.002219105641295511
region_South Region,0.002149791212137197
module_AAA,0.0013908444368579548
region_London Region,0.0012555929978301742
region_East Anglian Region,0.0012091920665424742
region_Scotland,0.00096294973543679
region_South East Region,0.00090133712787532
region_South West Region,0.000817454517907703
region_North Region,0.00071172053346182
region_North Western Region,0.0006604998118725328
region_East Midlands Region,0.000624429244142063
region_Wales,0.0006154668786254689
num_of_prev_attempts,0.0005282998360892873
region_West Midlands Region,0.0005088791382235633
region_Yorkshire Region,0.00031524190946665467
region_Ireland,0.00030288664997784416
edu_No Formal quals,0.00024139510555782264
edu_Post Graduate Qualification,0.00019887655882858653
